"Name","Agent","State","test/c_index","Notes","User","Tags","Created","Runtime","Sweep","activation","alpha","batchsize","bins","csv_path","d_gen_out","d_hidden","datapath","dim_hist_and_feature_path","dropout","epochs","l1_lambda","learningrate","modality","num_workers","repeating","storepath","c_index_epoch_val","c_index_last_val","c_index_max_val","epoch","test/runningloss","train/c_index","train/runningloss","valid/c_index","valid/runningloss"
"ethereal-sweep-270","4godg68i","finished","0.7109723461195361","-","tobias-seibel","","2023-09-25T00:53:16.000Z","378","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[192,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1Kpretrained300eps_TCGA_BRCA_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","10","/work4/seibel/data/results","4","0.4897959232330322","0.6530612111091614","40","0.4089188442934094","0.7710549586001768","0.4297729102801204","0.4897959183673469","0.4539806288559976"
"ethereal-sweep-122","5p0zduvu","finished","0.7096342551293487","-","tobias-seibel","","2023-09-24T20:12:02.000Z","1174","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.000001","Porpoise","2","2","/work4/seibel/data/results","34","0.7913278937339783","0.7967479825019836","40","0.3328011809136743","0.8367051635895925","0.4073678668269487","0.7913279132791328","0.3860411398648198"
"absurd-sweep-179","4godg68i","finished","0.7096342551293487","-","tobias-seibel","","2023-09-24T22:36:55.000Z","853","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.3","40","0","0.000001","PrePorpoise","2","9","/work4/seibel/data/results","12","0.7988338470458984","0.8338192701339722","40","0.3408383620364755","0.9335995069535624","0.3114329253651307","0.7988338192419825","0.3759594010099164"
"jolly-sweep-40","5p0zduvu","finished","0.707850133809099","-","tobias-seibel","","2023-09-24T18:10:46.000Z","846","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","PrePorpoise","2","10","/work4/seibel/data/results","19","0.7842565774917603","0.8104956150054932","40","0.35899132768456465","0.9241405182346794","0.31110548930714876","0.7842565597667639","0.4206812425496143"
"lucky-sweep-197","hzf0ugiw","finished","0.7069580731489741","-","tobias-seibel","","2023-09-24T23:04:43.000Z","661","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","PrePorpoise","2","7","/work4/seibel/data/results","39","0.7813411355018616","0.7813411355018616","40","0.3517348234970716","0.906080012862081","0.3303331883047038","0.7813411078717201","0.34720721821775946"
"celestial-sweep-188","u9g5ea1i","finished","0.7065120428189117","-","tobias-seibel","","2023-09-24T22:50:37.000Z","291","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","8","/work4/seibel/data/results","39","0.737609326839447","0.737609326839447","40","0.3350731503944174","0.8686995900211688","0.3816875076695333","0.7376093294460642","0.3020501473796797"
"stoic-sweep-301","7e5bfzdh","finished","0.7056199821587869","-","tobias-seibel","","2023-09-25T02:09:00.000Z","1177","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","1","/work4/seibel/data/results","39","0.7804877758026123","0.7804877758026123","40","0.3292192758949277","0.8139821538626437","0.4102344557706883","0.7804878048780488","0.3910450441723546"
"balmy-sweep-183","7e5bfzdh","finished","0.7056199821587869","-","tobias-seibel","","2023-09-24T22:43:49.000Z","444","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[384,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1K_PT_TCGA_BRCA_FT_HIST_GEN_199eps_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","3","/work4/seibel/data/results","38","0.7609329223632812","0.7725947499275208","40","0.3467365766206588","0.8841876791982636","0.37324918866432993","0.760932944606414","0.36878719794537224"
"avid-sweep-286","5p0zduvu","finished","0.7051739518287243","-","tobias-seibel","","2023-09-25T01:21:50.000Z","1190","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","128","/nodes/bevog/work4/seibel/data","[2048,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/tcga_brca_20x_features/pt_files""]","0.3","40","0","0.000001","Porpoise","2","6","/work4/seibel/data/results","30","0.718157172203064","0.7371273636817932","40","0.32984353009859235","0.8496744285752565","0.40094920931440126","0.7181571815718157","0.33219770906389817"
"atomic-sweep-102","u9g5ea1i","finished","0.7042818911685995","-","tobias-seibel","","2023-09-24T19:42:24.000Z","255","ko0p59zv","SELU","0.25","1","4","/nodes/bevog/work4/seibel/data/tile_encoder_dataframes","32","256","/nodes/bevog/work4/seibel/data","[192,""/nodes/bevog/work4/seibel/data/TCGA-BRCA-DX-features/vit_mae_tiny_I1Kpretrained300eps_TCGA_BRCA_features/pt_files""]","0.5","40","0","0.000001","Porpoise","2","2","/work4/seibel/data/results","39","0.8046647310256958","0.8046647310256958","40","0.3572337900401662","0.7798708432701841","0.4285335658752674","0.8046647230320699","0.35407178998361205"
